CustomerID,Recency,Frequency,Monetary,AvgBasketValue,DistinctProducts,TotalItems,TenureDays,CancellationRate,PrimaryCountry
12346,326,2,0.01,0.01,1,0,0,0.5,United Kingdom
12347,2,7,4310.0,615.7142857142857,103,2458,365,0.0,Iceland
12348,75,4,1797.24,449.31,22,2341,282,0.0,Finland
12349,19,1,1757.55,1757.55,73,631,0,0.0,Italy
12350,310,1,334.4,334.4,17,197,0,0.0,Norway
12352,36,11,1545.41,140.4918181818182,59,470,260,0.10526315789473684,Norway
12353,204,1,89.0,89.0,4,20,0,0.0,Bahrain
12354,232,1,1079.4,1079.4,58,530,0,0.0,Spain
12355,214,1,459.4,459.4,13,240,0,0.0,Bahrain
12356,23,3,2811.43,937.1433333333333,53,1591,302,0.0,Portugal
12357,33,1,6207.67,6207.67,131,2708,0,0.0,Switzerland
12358,2,2,1168.06,584.03,13,248,149,0.0,Austria
12359,8,6,6245.53,1040.9216666666666,214,1612,323,0.023622047244094488,Cyprus
12360,52,3,2662.06,887.3533333333334,105,1165,148,0.0,Austria
12361,287,1,189.9,189.9,10,91,0,0.0,Belgium
12362,3,13,5154.58,396.50615384615384,201,2212,292,0.029197080291970802,Belgium
12363,110,2,552.0,276.0,23,408,132,0.0,Unspecified
12364,8,4,1313.1,328.275,70,1506,104,0.0,Belgium
12365,291,3,320.69,106.89666666666666,22,173,0,0.043478260869565216,Cyprus
12367,4,1,168.9,168.9,11,173,0,0.0,Denmark
12370,51,4,3545.69,886.4225,143,2353,309,0.0,Cyprus
12371,45,2,1887.96,943.98,63,591,14,0.0,Switzerland
12372,72,3,1298.04,432.68,34,794,224,0.0,Denmark
12373,311,1,364.6,364.6,14,197,0,0.0,Austria
12374,25,1,742.9300000000001,742.9300000000001,33,342,0,0.0,Austria
12375,3,3,455.42,151.80666666666667,14,177,95,0.05555555555555555,Finland
12377,315,2,1628.12,814.06,72,944,39,0.0,Switzerland
12378,130,1,4008.62,4008.62,219,2529,0,0.0,Switzerland
12379,82,3,850.29,283.43,39,406,88,0.024390243902439025,Belgium
12380,22,5,2720.56,544.112,77,1126,164,0.009523809523809525,Belgium
12381,5,6,1803.96,300.66,70,783,115,0.04395604395604396,Norway
12383,185,6,1839.31,306.5516666666667,84,1529,167,0.01,Belgium
12384,29,3,566.16,188.72,26,121,92,0.1,Switzerland
12386,338,2,401.9,200.95,10,354,29,0.0,Australia
12388,16,6,2780.66,463.4433333333333,57,1462,311,0.0,Australia
12390,80,1,549.84,549.84,32,353,0,0.0,Belgium
12391,22,1,460.89,460.89,92,300,0,0.0,Cyprus
12393,72,4,1582.6000000000001,395.65000000000003,47,816,260,0.0,Australia
12394,64,2,1272.48,636.24,26,819,153,0.0,Belgium
12395,16,15,2998.28,199.88533333333334,91,2113,355,0.018867924528301886,Belgium
12397,36,2,2409.9,1204.95,110,1263,99,0.0,Belgium
12398,46,1,1635.6599999999999,1635.6599999999999,85,1394,0,0.0,Switzerland
12399,119,4,1108.65,277.1625,47,1178,142,0.0,Belgium
