CustomerID,Recency,Frequency,Monetary,AvgBasketValue,DistinctProducts,TenureDays,CancellationRate,FirstPurchase
12346,326,2,0.01,0.01,1,0,0.5,2011-01-18 10:01:00
12347,2,7,4310.0,615.7142857142857,103,365,0.0,2010-12-07 14:57:00
12348,75,4,1797.24,449.31,22,282,0.0,2010-12-16 19:09:00
12349,19,1,1757.55,1757.55,73,0,0.0,2011-11-21 09:51:00
12350,310,1,334.4,334.4,17,0,0.0,2011-02-02 16:01:00
12352,36,11,1545.41,140.4918181818182,59,260,0.10526315789473684,2011-02-16 12:33:00
12353,204,1,89.0,89.0,4,0,0.0,2011-05-19 17:47:00
12354,232,1,1079.4,1079.4,58,0,0.0,2011-04-21 13:11:00
12355,214,1,459.4,459.4,13,0,0.0,2011-05-09 13:49:00
12356,23,3,2811.43,937.1433333333333,53,302,0.0,2011-01-18 09:50:00
12357,33,1,6207.67,6207.67,131,0,0.0,2011-11-06 16:07:00
12358,2,2,1168.06,584.03,13,149,0.0,2011-07-12 10:04:00
12359,8,6,6245.53,1040.9216666666666,214,323,0.023622047244094488,2011-01-12 12:43:00
12360,52,3,2662.06,887.3533333333334,105,148,0.0,2011-05-23 09:43:00
12361,287,1,189.9,189.9,10,0,0.0,2011-02-25 13:51:00
12362,3,13,5154.58,396.50615384615384,201,292,0.029197080291970802,2011-02-17 10:30:00
12363,110,2,552.0,276.0,23,132,0.0,2011-04-11 13:29:00
12364,8,4,1313.1,328.275,70,104,0.0,2011-08-19 15:24:00
12365,291,3,320.69,106.89666666666666,22,0,0.043478260869565216,2011-02-21 13:51:00
12367,4,1,168.9,168.9,11,0,0.0,2011-12-05 16:48:00
12370,51,4,3545.69,886.4225,143,309,0.0,2010-12-14 12:58:00
12371,45,2,1887.96,943.98,63,14,0.0,2011-10-11 10:43:00
12372,72,3,1298.04,432.68,34,224,0.0,2011-02-16 12:46:00
12373,311,1,364.6,364.6,14,0,0.0,2011-02-01 13:10:00
12374,25,1,742.9300000000001,742.9300000000001,33,0,0.0,2011-11-14 15:37:00
12375,3,3,455.42,151.80666666666667,14,95,0.05555555555555555,2011-09-02 14:23:00
12377,315,2,1628.12,814.06,72,39,0.0,2010-12-20 09:37:00
12378,130,1,4008.62,4008.62,219,0,0.0,2011-08-02 10:34:00
12379,82,3,850.29,283.43,39,88,0.024390243902439025,2011-06-22 16:32:00
12380,22,5,2720.56,544.112,77,164,0.009523809523809525,2011-06-07 09:49:00
12381,5,6,1803.96,300.66,70,115,0.04395604395604396,2011-08-12 09:57:00
12383,185,6,1839.31,306.5516666666667,84,167,0.01,2010-12-22 14:28:00
12384,29,3,566.16,188.72,26,92,0.1,2011-08-10 11:23:00
12386,338,2,401.9,200.95,10,29,0.0,2010-12-08 09:53:00
12388,16,6,2780.66,463.4433333333333,57,311,0.0,2011-01-17 11:12:00
12390,80,1,549.84,549.84,32,0,0.0,2011-09-21 09:33:00
12391,22,1,460.89,460.89,92,0,0.0,2011-11-18 12:07:00
12393,72,4,1582.6000000000001,395.65000000000003,47,260,0.0,2011-01-11 09:47:00
12394,64,2,1272.48,636.24,26,153,0.0,2011-05-06 14:01:00
12395,16,15,2998.28,199.88533333333334,91,355,0.018867924528301886,2010-12-03 16:35:00
12397,36,2,2409.9,1204.95,110,99,0.0,2011-07-27 14:21:00
12398,46,1,1635.6599999999999,1635.6599999999999,85,0,0.0,2011-10-25 10:27:00
12399,119,4,1108.65,277.1625,47,142,0.0,2011-03-23 09:42:00
12401,303,1,84.3,84.3,5,0,0.0,2011-02-09 13:50:00
12402,323,1,225.6,225.6,11,0,0.0,2011-01-20 13:49:00
12403,50,2,409.7,204.85,5,0,0.16666666666666666,2011-10-21 10:51:00
12405,149,1,1710.39,1710.39,54,0,0.0,2011-07-14 08:52:00
12406,22,3,3280.75,1093.5833333333333,92,161,0.027777777777777776,2011-06-09 10:23:00
12407,50,5,1708.1200000000001,341.624,57,214,0.0,2011-03-20 13:21:00
12408,33,9,2842.57,315.8411111111111,81,227,0.07079646017699115,2011-03-24 14:46:00
12409,79,7,11056.93,1579.5614285714287,91,103,0.043859649122807015,2011-06-10 12:19:00
12410,301,3,681.0799999999999,227.02666666666664,26,7,0.07142857142857142,2011-02-04 10:38:00
12412,75,3,1226.88,408.96000000000004,43,94,0.0,2011-06-23 13:51:00
12413,67,5,694.15,138.82999999999998,29,270,0.05,2011-01-06 16:12:00
12414,217,3,562.41,187.47,16,93,0.0,2011-02-02 14:51:00
12415,24,26,123725.45,4758.671153846154,444,313,0.07989690721649484,2011-01-06 11:12:00
12417,3,12,3578.8,298.23333333333335,158,354,0.030303030303030304,2010-12-17 11:51:00
12418,113,1,668.58,668.58,34,0,0.0,2011-08-19 11:08:00
12420,64,1,600.39,600.39,29,0,0.0,2011-10-07 08:55:00
12421,16,5,806.27,161.254,33,303,0.021739130434782608,2011-01-24 15:09:00
12422,96,3,803.5600000000001,267.85333333333335,39,229,0.0,2011-01-19 09:13:00
12423,1,9,1849.11,205.45666666666665,97,352,0.007936507936507936,2010-12-21 10:54:00
12424,163,2,1760.96,880.48,30,0,0.0,2011-06-30 12:06:00
12425,78,1,777.2,777.2,36,0,0.0,2011-09-22 17:31:00
12426,195,1,582.73,582.73,30,0,0.0,2011-05-29 12:26:00
12427,12,5,708.37,141.674,26,360,0.11428571428571428,2010-12-03 10:44:00
12428,26,12,7877.2,656.4333333333333,258,257,0.02,2011-03-01 09:33:00
12429,9,4,3750.4,937.6,82,356,0.0,2010-12-09 12:05:00
12430,43,1,256.4,256.4,11,0,0.0,2011-10-27 15:09:00
12431,36,18,6416.39,356.4661111111111,163,338,0.016736401673640166,2010-12-01 10:03:00
12432,43,5,5059.32,1011.8639999999999,107,129,0.0,2011-06-20 13:27:00
12433,1,7,13375.87,1910.8385714285716,219,372,0.0,2010-12-01 13:24:00
12434,85,4,765.19,191.2975,49,276,0.07407407407407407,2010-12-14 11:12:00
12435,80,2,7829.89,3914.945,31,188,0.0,2011-03-17 07:40:00
12436,100,1,509.01,509.01,16,0,0.0,2011-09-01 12:09:00
12437,2,19,4896.66,257.718947368421,118,329,0.005,2011-01-12 14:13:00
12438,14,2,2906.85,1453.425,84,125,0.0,2011-07-22 13:29:00
12441,367,1,173.55,173.55,11,0,0.0,2010-12-08 10:45:00
12442,3,1,172.06,172.06,12,0,0.0,2011-12-06 14:22:00
12444,21,5,5005.46,1001.092,138,149,0.0,2011-06-21 14:00:00
12445,22,1,133.4,133.4,4,0,0.0,2011-11-17 18:43:00
12446,58,1,1002.3100000000001,1002.3100000000001,57,0,0.0,2011-10-13 12:50:00
12447,243,1,476.49,476.49,26,0,0.0,2011-04-10 13:25:00
12448,44,1,449.45,449.45,22,0,0.0,2011-10-26 13:46:00
12449,22,4,4067.29,1016.8225,118,164,0.0,2011-06-05 15:37:00
12450,156,2,197.88,98.94,7,17,0.0,2011-06-19 14:36:00
12451,11,6,8933.52,1488.92,265,313,0.0028169014084507044,2011-01-19 09:05:00
12452,17,3,428.57,142.85666666666665,21,0,0.043478260869565216,2011-11-23 08:05:00
12453,134,1,707.09,707.09,43,0,0.0,2011-07-28 14:08:00
12454,53,2,0.01,0.01,15,2,0.5,2011-10-14 17:13:00
12455,73,6,2466.86,411.1433333333334,85,223,0.0,2011-02-16 09:56:00
12456,44,4,3153.89,788.4725,105,210,0.031007751937984496,2011-03-30 09:12:00
12457,58,12,1917.78,159.815,53,180,0.07462686567164178,2011-04-14 18:57:00
